Ä_¥i¹Ú¯à¤O­Èªí,,,,,,,,
¦W¦r,³Ì¤j CP,³Ì¤j HP,§ðÀ»,¨¾¿m,­@¤O,ÄÝ©Ê,¶Ç»¡Ä_¥i¹Ú,¤Û¤§Ä_¥i¹Ú
½Ð°²¤ý,"4,431",233,290,166,284,¤@¯ë,§_,§_
¬ü¬¥­C¶ð,"3,972",187,250,225,225,¤@¯ë,§_,¬O
¦hÃäÃ~¢è,"3,266",166,264,150,198,¤@¯ë,§_,§_
¥d¤ñÃ~,"3,225",269,190,169,330,¤@¯ë,§_,§_
«i¤h¶¯ÆN,"3,088",187,232,152,225,¤@¯ë,§_,§_
°é°éºµ,"2,945",173,236,144,207,¤@¯ë,§_,§_
ªø¤òª¯,"2,827",166,206,182,198,¤@¯ë,§_,§_
©i§JÆN,"2,825",166,234,140,198,¤@¯ë,§_,§_
Ãz¬µÀY¤ô¤û,"2,797",180,195,182,216,¤@¯ë,§_,§_
©¯ºÖ³J,"2,757",399,129,169,496,¤@¯ë,§_,§_
°ª¶Æ¹nÂû,"2,734",160,226,146,190,¤@¯ë,§_,§_
¦hÃäÃ~¢º,"2,711",166,198,180,198,¤@¯ë,§_,§_
°ôÄdºµ,"2,652",177,180,194,212,¤@¯ë,§_,§_
ªÖ®õÃ¹,"2,620",153,198,183,181,¤@¯ë,§_,§_
³UÃ~,"2,586",193,181,165,233,¤@¯ë,§_,§_
¤j¦Þ»Q,"2,467",200,161,181,242,¤@¯ë,§_,§_
Âù§À©Ç¤â,"2,418",153,205,143,181,¤@¯ë,§_,§_
¿ßÃ^±Ù,"2,418",150,222,124,177,¤@¯ë,§_,§_
µÞªÞ³À,"2,416",160,198,146,190,¤@¯ë,§_,§_
¹Ê¹Ê§Q,"2,362",132,218,140,155,¤@¯ë,§_,§_
¤j¥¤Åø,"2,354",180,157,193,216,¤@¯ë,§_,§_
Ãz­µ©Ç,"2,347",193,179,137,232,¤@¯ë,§_,§_
©_¿Õ®ß¹«,"2,242",153,198,130,181,¤@¯ë,§_,§_
Åå¨¤³À,"2,164",150,192,131,177,¤@¯ë,§_,§_
¤j¤ñ³¾,"2,129",164,166,154,195,¤@¯ë,§_,§_
ªø¦Õ¨ß,"2,059",139,156,194,163,¤@¯ë,§_,§_
ÄQÅï©_,"2,046",146,182,133,172,¤@¯ë,§_,§_
¿ßÀY©]ÆN,"2,024",187,145,156,225,¤@¯ë,§_,§_
¤j¼L³¶,"1,997",139,182,133,163,¤@¯ë,§_,§_
¹L°Ê·á,"1,968",160,159,145,190,¤@¯ë,§_,§_
ªF¬IØp,"1,953",147,172,133,174,¤@¯ë,§_,§_
­D¥i¤B,"1,926",242,156,90,295,¤@¯ë,§_,§_
¤j¤ý¿P,"1,920",132,185,124,155,¤@¯ë,§_,§_
¤p¥d¤ñÃ~,"1,892",235,137,117,286,¤@¯ë,§_,§_
¤j§À¯W,"1,823",158,162,119,188,¤@¯ë,§_,§_
¨B­ï¹«,"1,819",132,165,139,155,¤@¯ë,§_,§_
µÁ¾¸³¾,"1,791",154,183,91,183,¤@¯ë,§_,§_
¤j§À¥ß,"1,758",166,148,125,198,¤@¯ë,§_,§_
©Ô¹F,"1,730",125,161,139,146,¤@¯ë,§_,§_
¦hÃäÃ~,"1,720",139,153,136,163,¤@¯ë,§_,§_
¤gÀs§Ì§Ì,"1,689",187,131,128,225,¤@¯ë,§_,§_
¿ß¦Ñ¤j,"1,689",139,150,136,163,¤@¯ë,§_,§_
®t¤£¦h«½«½,"1,682",191,114,163,230,¤@¯ë,§_,§_
ª½½Äºµ,"1,662",157,142,128,186,¤@¯ë,§_,§_
ÄÆ¯Bªwªw,"1,632",146,139,139,172,¤@¯ë,§_,§_
«¢¬ù§J,"1,583",139,145,126,163,¤@¯ë,§_,§_
Àu¶®¿ß,"1,496",146,132,127,172,¤@¯ë,§_,§_
¤òÀY¤pÆN,"1,491",146,150,97,172,¤@¯ë,§_,§_
©B©BÂF,"1,442",135,144,107,158,¤@¯ë,§_,§_
¤j¦ÞÀY,"1,411",173,108,137,207,¤@¯ë,§_,§_
ªø§À©Ç¤â,"1,348",125,136,112,146,¤@¯ë,§_,§_
ºµÄ_Ä_,"1,328",132,142,93,155,¤@¯ë,§_,§_
§qÃz¼u,"1,327",165,134,81,197,¤@¯ë,§_,§_
©i§J³¾,"1,299",125,142,94,146,¤@¯ë,§_,§_
±²±²¦Õ,"1,258",125,130,105,146,¤@¯ë,§_,§_
¦N§Q³J,"1,255",392,60,128,487,¤@¯ë,§_,§_
¤j½µÀn,"1,236",121,124,115,141,¤@¯ë,§_,§_
®Ì®Ì´³,"1,220",132,116,116,155,¤@¯ë,§_,§_
¹Ê¹Ê,"1,200",98,158,83,111,¤@¯ë,§_,§_
¤ñ¤ñ³¾,"1,194",136,117,105,160,¤@¯ë,§_,§_
¥|©u³À,"1,135",132,115,100,155,¤@¯ë,§_,§_
¥ì¥¬,"1,071",125,104,114,146,¤@¯ë,§_,§_
Ãi¤HÃ¡,"1,002",132,104,92,155,¤@¯ë,§_,§_
¾y¤OØp,934,117,109,82,135,¤@¯ë,§_,§_
¤p¬ù§J,915,111,107,86,128,¤@¯ë,§_,§_
ªwªj®ß¹«,872,125,98,80,146,¤@¯ë,§_,§_
¨§¨§ÂF,848,118,98,80,137,¤@¯ë,§_,§_
¦ÊÅÜ©Ç,832,116,91,91,134,¤@¯ë,§_,§_
«Cºø³¾,824,111,76,132,128,¤@¯ë,§_,§_
¯P³¶,798,105,112,60,120,¤@¯ë,§_,§_
±´±´¹«,791,111,98,73,128,¤@¯ë,§_,§_
¶Æ°©¿P,765,105,106,61,120,¤@¯ë,§_,§_
ØpØp,748,105,92,78,120,¤@¯ë,§_,§_
¦V§ÀØp,739,118,84,79,137,¤@¯ë,§_,§_
¤p©Ô¹F,734,91,103,70,102,¤@¯ë,§_,§_
­D¤B,724,207,80,41,251,¤@¯ë,§_,§_
¤j¤ú¯W,721,131,80,73,153,¤@¯ë,§_,§_
©i§J¨à,719,105,101,58,120,¤@¯ë,§_,§_
ªiªi,680,105,85,73,120,¤@¯ë,§_,§_
©B©B,677,132,67,88,155,¤@¯ë,§_,§_
©B§¬§¬,671,138,92,42,162,¤@¯ë,§_,§_
§À¥ß,618,98,79,73,111,¤@¯ë,§_,§_
Ä_Ä_¤B,535,173,69,32,207,¤@¯ë,§_,§_
³D¯¾ºµ,508,102,58,80,116,¤@¯ë,§_,§_
¤pºÖ³J,371,187,25,77,225,¤@¯ë,§_,§_
ÅS¤OÄR,364,118,36,71,137,¤@¯ë,§_,§_
µU©Ç,"1,164",105,148,82,120,®æ°«,§_,§_
¤õÃzµU,"2,288",139,207,138,163,®æ°«,§_,§_
°A­»ªa¤h,"2,586",173,182,184,207,®æ°«,§_,§_
µÃ¤O,"1,278",146,137,82,172,®æ°«,§_,§_
»¨¤O,"2,031",160,177,125,190,®æ°«,§_,§_
©Ç¤O,"3,056",173,234,159,207,®æ°«,§_,§_
­¸»L­¦,"2,576",118,224,181,137,®æ°«,§_,§_
§Ö®±­¦,"2,332",118,193,197,137,®æ°«,§_,§_
»®©Ô§JÃ¹´µ,"3,101",160,234,179,190,®æ°«,§_,§_
µL¬È¤p¤l,492,98,64,64,111,®æ°«,§_,§_
¾Ô»R­¦,"2,156",118,173,207,137,®æ°«,§_,§_
¤O§§Âû,"1,652",132,163,115,155,®æ°«,§_,§_
¤õµKÂû,"2,848",160,240,141,190,®æ°«,§_,§_
¤æ²ÁÛ£,"2,628",132,241,144,155,®æ°«,§_,§_
¹õ¤U¤O¤h,817,149,99,54,176,®æ°«,§_,§_
ÅK´x¤O¤h,"2,829",247,209,114,302,®æ°«,§_,§_
º¿¨F¨º,693,91,78,107,102,®æ°«,§_,§_
«ê¹p©i,"1,431",132,121,152,155,®æ°«,§_,§_
²r¤õµU,"1,574",138,158,105,162,®æ°«,§_,§_
¯PµKµU,"2,683",154,222,151,183,®æ°«,§_,§_
§Q¼Ú¸ô,993,105,127,78,120,®æ°«,§_,§_
¸ô¥d§Q¼Ú,"2,703",146,236,144,172,®æ°«,§_,§_
¤£¨}µì,952,116,116,76,134,®æ°«,§_,§_
¬r¾uµì,"2,488",164,211,133,195,®æ°«,§_,§_
¦ã¸ô¹p¦·,"3,093",143,237,195,169,®æ°«,§_,§_
ª£ª£½Þ,"1,924",173,173,106,207,®æ°«,§_,§_
ª¢ªZ¤ý,"2,982",200,235,127,242,®æ°«,§_,§_
·h¹B¤p¦K,"1,315",153,134,87,181,®æ°«,§_,§_
ÅK°©¤g¤H,"2,169",166,180,134,198,®æ°«,§_,§_
­×«Ø¦Ñ¦K,"3,337",193,243,158,233,®æ°«,§_,§_
§ëºL°­,"2,562",214,172,160,260,®æ°«,§_,§_
¥´À»°­,"2,788",153,231,153,181,®æ°«,§_,§_
·Æ·Æ¤p¤l,"1,372",118,132,132,137,®æ°«,§_,§_
ÀY¤y²V²V,"2,283",139,163,222,163,®æ°«,§_,§_
¥\¤ÒÃ^,"1,389",111,160,98,128,®æ°«,§_,§_
®v¤÷Ã^,"2,710",139,258,127,163,®æ°«,§_,§_
¤Ä©¬¸ô¯Î,"3,022",175,192,229,209,®æ°«,¬O,§_
¥N©Ô°ò¯Î,"3,698",175,260,192,209,®æ°«,¬O,§_
²¦¤O¦N¯Î,"3,022",175,192,229,209,®æ°«,¬O,§_
³Í¸ô­}¼Ú,"3,698",175,260,192,209,®æ°«,§_,¬O
½µ¹C§L,"2,985",135,248,176,158,®æ°«,§_,§_
¼Q¤õÀs,"2,889",157,223,173,186,­¸¦æ,§_,§_
¤Ú¤j½º,"1,827",132,167,137,155,­¸¦æ,§_,§_
ªiªi,680,105,85,73,120,­¸¦æ,§_,§_
¤ñ¤ñ³¾,"1,194",136,117,105,160,­¸¦æ,§_,§_
¤j¤ñ³¾,"2,129",164,166,154,195,­¸¦æ,§_,§_
¯P³¶,798,105,112,60,120,­¸¦æ,§_,§_
¤j¼L³¶,"1,997",139,182,133,163,­¸¦æ,§_,§_
¶W­µ½»,667,105,83,73,120,­¸¦æ,§_,§_
¤j¼L½»,"1,976",153,161,150,181,­¸¦æ,§_,§_
¤j½µÀn,"1,236",121,124,115,141,­¸¦æ,§_,§_
¹Ê¹Ê,"1,200",98,158,83,111,­¸¦æ,§_,§_
¹Ê¹Ê§Q,"2,362",132,218,140,155,­¸¦æ,§_,§_
­¸¤ÑÁ®½¸,"2,706",146,218,170,172,­¸¦æ,§_,§_
¼ÉÃUÀs,"3,391",180,237,186,216,­¸¦æ,§_,§_
¤Æ¥ÛÁlÀs,"2,783",160,221,159,190,­¸¦æ,§_,§_
«æ­á³¾,"3,051",173,192,236,207,­¸¦æ,¬O,§_
°{¹q³¾,"3,527",173,253,185,207,­¸¦æ,¬O,§_
¤õµK³¾,"3,465",173,251,181,207,­¸¦æ,¬O,§_
§ÖÀs,"3,792",175,263,198,209,­¸¦æ,§_,§_
©B©B,677,132,67,88,155,­¸¦æ,§_,§_
¿ßÀY©]ÆN,"2,024",187,145,156,225,­¸¦æ,§_,§_
ªÝ¿]ÂÎ,728,105,72,118,120,­¸¦æ,§_,§_
¦w¿]ÂÎ,"1,346",125,107,179,146,­¸¦æ,§_,§_
¤e¦r½»,"2,646",166,194,178,198,­¸¦æ,§_,§_
ªi§J°ò¥j,"1,708",125,139,181,146,­¸¦æ,§_,§_
¤ÑµM³¶,"1,102",105,134,89,120,­¸¦æ,§_,§_
¤ÑµM³¾,"2,188",139,192,146,163,­¸¦æ,§_,§_
··¤l¯ó,600,98,67,94,111,­¸¦æ,§_,§_
··¤lªá,976,125,91,120,146,­¸¦æ,§_,§_
··¤l´Ö,"1,636",153,118,183,181,­¸¦æ,§_,§_
»f»f¸»,"1,470",139,154,94,163,­¸¦æ,§_,§_
¶Â·t¾~,"1,562",132,175,87,155,­¸¦æ,§_,§_
¤ÑÃÈ,"1,857",139,143,184,163,­¸¦æ,§_,§_
«H¨Ï³¾,"1,094",111,128,90,128,­¸¦æ,§_,§_
¥¨¯Í­¸³½,"2,108",139,148,226,163,­¸¦æ,§_,§_
²¯¥Ò³¾,"2,108",139,148,226,163,­¸¦æ,§_,§_
¬¥©_¨È,"3,703",195,193,310,235,­¸¦æ,¬O,§_
»ñ¤ý,"3,863",179,239,244,214,­¸¦æ,¬O,§_
¬¼Ây»ñ½º,"1,765",132,189,98,155,­¸¦æ,§_,§_
¶Æ°©¿P,765,105,106,61,120,­¸¦æ,§_,§_
¤j¤ý¿P,"1,920",132,185,124,155,­¸¦æ,§_,§_
ªø¯ÍÅÃ,765,105,106,61,120,­¸¦æ,§_,§_
¤j¼LÅÃ,"2,127",132,175,174,155,­¸¦æ,§_,§_
«B¯Í¸¿,"2,270",146,192,150,172,­¸¦æ,§_,§_
«Cºø³¾,824,111,76,132,128,­¸¦æ,§_,§_
¤C¤i«C³¾,"2,004",153,141,201,181,­¸¦æ,§_,§_
¼ö±aÀs,"1,941",186,136,163,223,­¸¦æ,§_,§_
¼É­¸Às,"3,749",180,277,168,216,­¸¦æ,§_,§_
¯PªÅ§¤,"3,835",178,284,170,213,­¸¦æ,§_,§_
©i§J¨à,719,105,101,58,120,­¸¦æ,§_,§_
©i§J³¾,"1,299",125,142,94,146,­¸¦æ,§_,§_
©i§JÆN,"2,825",166,234,140,198,­¸¦æ,§_,§_
²Ô¤h¸¿,"1,815",146,185,98,172,­¸¦æ,§_,§_
¤T»e¸Á,494,91,59,83,102,­¸¦æ,§_,§_
¸Á¤k¤ý,"2,005",146,149,190,172,­¸¦æ,§_,§_
ÄÆÄÆ²y,"1,197",173,117,80,207,­¸¦æ,§_,§_
ÀH­·²y,"2,382",255,180,102,312,­¸¦æ,§_,§_
¯Q¾~ÀYÀY,"2,711",187,243,103,225,­¸¦æ,§_,§_
µÁ¾¸³¾,"1,791",154,183,91,183,­¸¦æ,§_,§_
¤p²y­¸³½,"1,248",111,105,179,128,­¸¦æ,§_,§_
ªi§J°ò´µ,"3,332",166,225,217,198,­¸¦æ,§_,§_
»·¥j¥¨¸»,"2,946",168,231,156,200,­¸¦æ,§_,§_
¤ÑÃÈ¤ý,"2,692",153,185,222,181,­¸¦æ,§_,§_
¨§¨§ÂF,848,118,98,80,137,­¸¦æ,§_,§_
©B©BÂF,"1,442",135,144,107,158,­¸¦æ,§_,§_
°ª¶Æ¹nÂû,"2,734",160,226,146,190,­¸¦æ,§_,§_
ºuºu½¿½»,"1,016",139,107,85,163,­¸¦æ,§_,§_
¤ß½¿½»,"1,716",142,161,119,167,­¸¦æ,§_,§_
¶H¼x³¾,"2,550",149,204,167,176,­¸¦æ,§_,§_
©l¯ª¤p³¾,"1,842",125,213,89,146,­¸¦æ,§_,§_
©l¯ª¤j³¾,"3,331",153,292,139,181,­¸¦æ,§_,§_
ÀnÄ_Ä_,856,135,84,96,158,­¸¦æ,§_,§_
»R¤ÑÃZ,"2,088",153,182,132,181,­¸¦æ,§_,§_
¹q­¸¹«,"1,633",125,158,127,146,­¸¦æ,§_,§_
¤òÀY¤pÆN,"1,491",146,150,97,172,­¸¦æ,§_,§_
«i¤h¶¯ÆN,"3,088",187,232,152,225,­¸¦æ,§_,§_
¨rÆN¤XÀY,"1,271",146,105,139,172,­¸¦æ,§_,§_
¨rÆN®R,"2,138",200,129,205,242,­¸¦æ,§_,§_
Às±²¶³,"3,345",158,266,164,188,­¸¦æ,¬O,§_
¹p¹q¶³,"3,345",158,266,164,188,­¸¦æ,¬O,§_
¤g¦a¶³,"3,588",171,261,182,205,­¸¦æ,¬O,§_
§®µìºØ¤l,"1,115",111,118,111,128,¬r,§_,§_
§®µì¯ó,"1,699",132,151,143,155,¬r,§_,§_
§®µìªá,"2,720",160,198,189,190,¬r,§_,§_
¿W¨¤ÂÎ,456,105,63,50,120,¬r,§_,§_
ÅK´ß¸º,432,111,46,75,128,¬r,§_,§_
¤j°w¸Á,"1,846",139,169,130,163,¬r,§_,§_
ªü¬f³D,927,98,110,97,111,¬r,§_,§_
ªü¬f©Ç,"1,921",132,167,153,155,¬r,§_,§_
¥§¦hÄõ,816,125,86,89,146,¬r,§_,§_
¥§¦h®R,"1,309",146,117,120,172,¬r,§_,§_
¥§¦h¦Z,"2,488",173,180,173,207,¬r,§_,§_
¥§¦h®Ô,860,113,105,76,130,¬r,§_,§_
¥§¦h¤O¿Õ,"1,393",133,137,111,156,¬r,§_,§_
¥§¦h¤ý,"2,567",161,204,156,191,¬r,§_,§_
¶W­µ½»,667,105,83,73,120,¬r,§_,§_
¤j¼L½»,"1,976",153,161,150,181,¬r,§_,§_
¨«¸ô¯ó,"1,228",111,131,112,128,¬r,§_,§_
¯ä¯äªá,"1,681",132,153,136,155,¬r,§_,§_
ÅQ¤ýªá,"2,559",153,202,167,181,¬r,§_,§_
¤ò²y,"1,004",132,100,100,155,¬r,§_,§_
¼¯¾|¸¿,"2,082",146,179,143,172,¬r,§_,§_
³â¥zªÞ,"1,033",118,139,61,137,¬r,§_,§_
¤f§bªá,"1,611",139,172,92,163,¬r,§_,§_
¤j­¹ªá,"2,431",160,207,135,190,¬r,§_,§_
º¿·ê¤ô¥À,"1,040",105,97,149,120,¬r,§_,§_
¬r¨ë¤ô¥À,"2,422",160,166,209,190,¬r,§_,§_
¯äªd,"1,374",160,135,90,190,¬r,§_,§_
¯ä¯äªd,"2,757",193,190,172,233,¬r,§_,§_
°­´µ,"1,229",91,186,67,102,¬r,§_,§_
°­´µ³q,"1,963",111,223,107,128,¬r,§_,§_
¯Õ°­,"2,878",132,261,149,155,¬r,§_,§_
¥Ë´µ¼u,"1,214",105,119,141,120,¬r,§_,§_
Âù¼u¥Ë´µ,"2,293",139,174,197,163,¬r,§_,§_
¶êµ·µï,816,105,105,73,120,¬r,§_,§_
ªü§Q¦h´µ,"1,772",146,161,124,172,¬r,§_,§_
¤e¦r½»,"2,646",166,194,178,198,¬r,§_,§_
¤d°w³½,"2,051",139,184,138,163,¬r,§_,§_
¬r¯»¸¿,"1,224",132,98,162,155,¬r,§_,§_
¬rÁ¥Á¨,"1,870",118,186,131,137,¬r,§_,§_
·»­¹Ã~,866,146,80,99,172,¬r,§_,§_
§]­¹Ã~,"1,978",187,140,159,225,¬r,§_,§_
¶º°Í³D,"2,105",150,196,118,177,¬r,§_,§_
§t²Û­c,856,105,91,109,120,¬r,§_,§_
Ã¹µ·¹p¦·,"2,971",132,243,185,155,¬r,§_,§_
¯äÃ^¼P,"1,151",136,121,90,160,¬r,§_,§_
©Z§J¯äÃ^,"2,358",191,184,132,230,¬r,§_,§_
¹X§ÀÃÈ,"1,009",105,93,151,120,¬r,§_,§_
Às¤ýÃÈ,"2,453",146,180,202,172,¬r,§_,§_
¤£¨}µì,952,116,116,76,134,¬r,§_,§_
¬r¾uµì,"2,488",164,211,133,195,¬r,§_,§_
¦Ê¨¬¸¼°G,706,91,83,99,102,¬r,§_,§_
¨®½ü²A,"1,144",105,100,173,120,¬r,§_,§_
¸¼°G¤ý,"2,447",132,203,175,155,¬r,§_,§_
¯}¯}³U,"1,000",118,96,122,137,¬r,§_,§_
¦Ç¹Ð¤s,"2,345",160,181,164,190,¬r,§_,§_
«u§r²yÛ£,979,144,97,91,170,¬r,§_,§_
±ÑÅS²yÛ£,"2,140",206,155,139,249,¬r,§_,§_
¬ï¤s¹«,"1,261",118,126,120,137,¦a­±,§_,§_
¬ï¤s¤ý,"2,374",153,182,175,181,¦a­±,§_,§_
¥§¦h¦Z,"2,488",173,180,173,207,¦a­±,§_,§_
¥§¦h¤ý,"2,567",161,204,156,191,¦a­±,§_,§_
¦a¹«,676,64,109,78,67,¦a­±,§_,§_
¤T¦a¹«,"1,557",98,167,134,111,¦a­±,§_,§_
¤p®±¥Û,"1,293",105,132,132,120,¦a­±,§_,§_
¶©¶©¥Û,"1,897",125,164,164,146,¦a­±,§_,§_
¶©¶©©¥,"2,949",160,211,198,190,¦a­±,§_,§_
¤j©¥³D,"1,101",98,85,232,111,¦a­±,§_,§_
¥d©Ô¥d©Ô,"1,019",118,90,144,137,¦a­±,§_,§_
¹Ç°Õ¹Ç°Õ,"1,835",132,144,186,155,¦a­±,§_,§_
¿W¨¤µR¤û,"1,651",160,140,127,190,¦a­±,§_,§_
Æp¨¤µRÃ~,"3,179",193,222,171,233,¦a­±,§_,§_
¯Qªi,641,125,75,66,146,¦a­±,§_,§_
ªh¤ý,"1,992",180,152,143,216,¦a­±,§_,§_
¤ÑÃÈ,"1,857",139,143,184,163,¦a­±,§_,§_
¤j¿û³D,"2,414",153,148,272,181,¦a­±,§_,§_
¤p¤s½Þ,741,118,90,69,137,¦a­±,§_,§_
ªø¤ò½Þ,"2,345",187,181,138,225,¦a­±,§_,§_
¤p¤p¶H,"1,206",173,107,98,207,¦a­±,§_,§_
¹y¥Ò,"3,013",173,214,185,207,¦a­±,§_,§_
¥®°ò©Ô´µ,"1,040",118,115,93,137,¦a­±,§_,§_
¨F°ò©Ô´µ,"1,766",146,155,133,172,¦a­±,§_,§_
ªhÅD³½,"1,776",146,156,133,172,¦a­±,§_,§_
¥¨ªh©Ç,"2,974",187,208,175,225,¦a­±,§_,§_
§b¤õ¾m,"1,057",132,119,79,155,¦a­±,§_,§_
¼Q¤õ¾m,"2,193",146,194,136,172,¦a­±,§_,§_
¤jÃEÃÆ,"1,274",111,162,78,128,¦a­±,§_,§_
¶W­µªi¥®ÂÎ,"1,225",118,134,99,137,¦a­±,§_,§_
¨Fºz»f¸»,"2,661",160,205,168,190,¦a­±,§_,§_
ªdªdÄÏ,819,118,93,82,137,¦a­±,§_,§_
óÎ³½¤ý,"2,075",200,151,141,242,¦a­±,§_,§_
¤Ñ¯¯°¸,787,105,77,124,120,¦a­±,§_,§_
©À¤O¤g°¸,"1,971",132,140,229,155,¦a­±,§_,§_
©T©Ô¦h,"4,115",171,270,228,205,¦a­±,¬O,§_
¤g¥xÀt,"2,934",180,202,188,216,¦a­±,§_,§_
®ü¨ßÃ~,"2,324",202,169,143,244,¦a­±,§_,§_
¶ê³°ÃT,"1,112",129,124,84,151,¦a­±,§_,§_
¦y¤ú³°ÃT,"1,874",143,172,125,169,¦a­±,§_,§_
¯P«r³°ÃT,"3,962",198,261,193,239,¦a­±,§_,§_
¨Fªe°¨,"1,358",143,124,118,169,¦a­±,§_,§_
ªe°¨Ã~,"3,085",198,201,191,239,¦a­±,§_,§_
¶W¥Ò¨gµR,"3,733",207,241,190,251,¦a­±,§_,§_
