Ä_¥i¹Ú¯à¤O­Èªí,,,,,,,,
¤p²y­¸³½,"1,248",111,105,179,128,¤ô,§_,§_
¤ô¤ôÃ¡,"1,046",125,117,85,146,¤ô,§_,§_
Âù¤b¤Y,"1,741",153,159,116,181,¤ô,§_,§_
¤j¼C°­,"2,826",180,212,157,216,¤ô,§_,§_
§N¤ôµU,956,118,104,94,137,¤ô,§_,§_
§N¤ô·á,"2,350",153,206,133,181,¤ô,§_,§_
¶ê½Á°B,839,118,98,78,137,¤ô,§_,§_
ÂÅÃÊßï,"1,392",153,128,109,181,¤ô,§_,§_
ÃÊßï¤ý,"2,564",193,188,150,233,¤ô,§_,§_
³¥ÆZÆt³½,"2,090",146,189,129,172,¤ô,§_,§_
­ì»\®üÀt,"1,488",124,134,146,144,¤ô,§_,§_
¦Ø°©®üÀt,"2,621",151,192,197,179,¤ô,§_,§_
ÀnÄ_Ä_,856,135,84,96,158,¤ô,§_,§_
»R¤ÑÃZ,"2,088",153,182,132,181,¤ô,§_,§_
»´ÄÆÄÆ,"1,257",125,115,134,146,¤ô,§_,§_
­D¹Ê¹Ê,"2,338",187,159,178,225,¤ô,§_,§_
«O¥À°Òªi,"2,169",275,138,131,338,¤ô,§_,§_
³Í¸ô­}¼Ú,"3,698",175,260,192,209,¤ô,§_,¬O
§®µìºØ¤l,"1,115",111,118,111,128,¯ó,§_,§_
§®µì¯ó,"1,699",132,151,143,155,¯ó,§_,§_
§®µìªá,"2,720",160,198,189,190,¯ó,§_,§_
¨«¸ô¯ó,"1,228",111,131,112,128,¯ó,§_,§_
¯ä¯äªá,"1,681",132,153,136,155,¯ó,§_,§_
ÅQ¤ýªá,"2,559",153,202,167,181,¯ó,§_,§_
¬£©Ô´µ,"1,018",98,121,99,111,¯ó,§_,§_
¬£©Ô´µ¯S,"1,859",132,165,146,155,¯ó,§_,§_
³â¥zªÞ,"1,033",118,139,61,137,¯ó,§_,§_
¤f§bªá,"1,611",139,172,92,163,¯ó,§_,§_
¤j­¹ªá,"2,431",160,207,135,190,¯ó,§_,§_
³J³J,"1,175",132,107,125,155,¯ó,§_,§_
·¦³J¾ð,"3,014",180,233,149,216,¯ó,§_,§_
½¯ÃÃ©Ç,"2,238",139,183,169,163,¯ó,§_,§_
µâ¯ó¸­,935,111,92,122,128,¯ó,§_,§_
¤ë®Û¸­,"1,454",132,122,155,155,¯ó,§_,§_
¤jªÇ¸ª,"2,410",160,168,202,190,¯ó,§_,§_
¬üÄRªá,"2,281",153,169,186,181,¯ó,§_,§_
··¤l¯ó,600,98,67,94,111,¯ó,§_,§_
··¤lªá,976,125,91,120,146,¯ó,§_,§_
··¤l´Ö,"1,636",153,118,183,181,¯ó,§_,§_
¦V¤éºØ¤l,395,91,55,55,102,¯ó,§_,§_
¦V¤éªá©Ç,"2,141",153,185,135,181,¯ó,§_,§_
®É©Ô¤ñ,"3,265",187,210,210,225,¯ó,§_,¬O
¤ì¦u®c,"1,053",105,124,94,120,¯ó,§_,§_
´ËªL»h»i,"1,673",118,172,120,137,¯ó,§_,§_
»h»i¤ý,"2,757",146,223,169,172,¯ó,§_,§_
½¬¸­µ£¤l,598,105,71,77,120,¯ó,§_,§_
½¬´U¤pµ£,"1,197",132,112,119,155,¯ó,§_,§_
¼Ö¤Ñªeµ£,"2,323",160,173,176,190,¯ó,§_,§_
¾ó¹êªG,598,105,71,77,120,¯ó,§_,§_
ªø»ó¸­,"1,227",146,134,78,172,¯ó,§_,§_
¬¾·â¤Ñª¯,"2,333",173,200,121,207,¯ó,§_,§_
Ä¨Ä¨Û£,810,132,74,110,155,¯ó,§_,§_
¤æ²ÁÛ£,"2,628",132,241,144,155,¯ó,§_,§_
¬rÁ¥Á¨,"1,870",118,186,131,137,¯ó,§_,§_
¨ë²y¥P¤H´x,"1,242",118,156,74,137,¯ó,§_,§_
¹Úºq¥P¤H´x,"2,298",146,221,115,172,¯ó,§_,§_
Ä²¤â¦Ê¦X,"1,291",140,105,150,165,¯ó,§_,§_
·nÄx¦Ê¦X,"2,211",168,152,194,200,¯ó,§_,§_
¼ö±aÀs,"1,941",186,136,163,223,¯ó,§_,§_
¯ó­]Àt,"1,187",125,119,110,146,¯ó,§_,§_
¾ðªLÀt,"1,890",153,157,143,181,¯ó,§_,§_
¤g¥xÀt,"2,934",180,202,188,216,¯ó,§_,§_
§t²Û­c,856,105,91,109,120,¯ó,§_,§_
Ã¹µ·¹p¦·,"2,971",132,243,185,155,¯ó,§_,§_
µ²¯ó¶Q°ü,"1,773",132,141,180,155,¯ó,§_,§_
ÄåªáÄ_,950,111,108,92,128,¯ó,§_,§_
Äåªá¨à,"2,048",146,170,153,172,¯ó,§_,§_
¦y¤úÅ¢,"2,159",151,187,136,179,¯ó,§_,§_
³·²Á©Ç,"1,159",132,115,105,155,¯ó,§_,§_
¼É³·¤ý,"2,362",173,178,158,207,¯ó,§_,§_
¥¨½¯ÃÃ,"3,030",187,207,184,225,¯ó,§_,§_
¸­¥ì¥¬,"2,944",139,216,219,163,¯ó,§_,§_
ÃÃÃÃ³D,849,111,88,107,128,¯ó,§_,§_
«CÃÃ³D,"1,441",132,122,152,155,¯ó,§_,§_
§g¥D³D,"2,277",153,161,204,181,¯ó,§_,§_
ªá·¦µU,956,118,104,94,137,¯ó,§_,§_
ªá·¦·á,"2,350",153,206,133,181,¯ó,§_,§_
ÂÎÄ_¥],977,111,96,124,128,¯ó,§_,§_
Ä_¥]Ãµ,"1,370",125,115,162,146,¯ó,§_,§_
«O¥ÀÂÎ,"2,580",153,205,165,181,¯ó,§_,§_
¤ì´Ö²y,700,105,71,111,120,¯ó,§_,§_
­·§¯ºë,"2,014",132,164,176,155,¯ó,§_,§_
¦Ê¦X®Ú«½«½,"1,030",111,119,91,128,¯ó,§_,§_
¸È¨à¤p©j,"2,550",146,214,155,172,¯ó,§_,§_
¨F¹a¥P¤H´x,"2,274",153,201,130,181,¯ó,§_,§_
¥|©u³À,"1,135",132,115,100,155,¯ó,§_,§_
µÞªÞ³À,"2,416",160,198,146,190,¯ó,§_,§_
«u§r²yÛ£,979,144,97,91,170,¯ó,§_,§_
±ÑÅS²yÛ£,"2,140",206,155,139,249,¯ó,§_,§_
ºØ¤lÅK²y,941,111,82,155,127,¯ó,§_,§_
°íªG°×¹a,"2,321",151,158,223,179,¯ó,§_,§_
²¦¤O¦N¯Î,"3,022",175,192,229,209,¯ó,¬O,§_
¥Ö¥d¥C,938,98,112,96,111,¹q,§_,§_
¹p¥C,"2,182",132,193,151,155,¹q,§_,§_
¤pºÏ©Ç,"1,362",84,165,121,93,¹q,§_,§_
¤T¦X¤@ºÏ©Ç,"2,485",118,223,169,137,¹q,§_,§_
ÅRÆE¹q²y,"1,010",105,109,111,120,¹q,§_,§_
¹x¥Ö¹p¼u,"2,099",132,173,173,155,¹q,§_,§_
¹qÀ»Ã~,"2,334",139,198,158,163,¹q,§_,§_
¹p¥ì¥¬,"2,888",139,232,182,163,¹q,§_,§_
°{¹q³¾,"3,527",173,253,185,207,¹q,¬O,§_
¿OÅ¢³½,"1,119",153,106,97,181,¹q,§_,§_
¹q¿O©Ç,"2,085",221,146,137,268,¹q,§_,§_
¥Ö¥C,473,78,77,53,85,¹q,§_,§_
«§§Q¦Ï,991,125,114,79,146,¹q,§_,§_
¯ñ¯ñ¦Ï,"1,521",146,145,109,172,¹q,§_,§_
¹qÀs,"2,852",173,211,169,207,¹q,§_,§_
¹qÀ»©Ç,"1,206",111,135,101,128,¹q,§_,§_
¹p¤½,"3,452",173,241,195,207,¹q,¬O,§_
¸¨¹pÃ~,965,105,123,78,120,¹q,§_,§_
¹p¹qÃ~,"2,340",146,215,127,172,¹q,§_,§_
¥¿¹q©ç©ç,"1,778",132,167,129,155,¹q,§_,§_
­t¹q©ç©ç,"1,694",132,147,150,155,¹q,§_,§_
¤p¿ß©Ç,876,111,117,64,128,¹q,§_,§_
°Ç§J¿ß,"1,486",132,159,95,155,¹q,§_,§_
­Ûµ^¿ß,"2,888",160,232,156,190,¹q,§_,§_
©¬©_§Q¯÷,"1,213",132,94,172,155,¹q,§_,§_
¦ÛÃzºÏ©Ç,"3,205",146,238,205,172,¹q,§_,§_
¹qÀ»Å]Ã~,"3,079",153,249,163,181,¹q,§_,§_
¬¥¦«©i,"2,031",118,185,159,137,¹q,§_,§_
´³´³°¨,882,111,118,64,128,¹q,§_,§_
¹p¹q´³°¨,"2,428",153,211,136,181,¹q,§_,§_
¹q­¸¹«,"1,633",125,158,127,146,¹q,§_,§_
¹q¹qÂÎ,"1,023",118,110,98,137,¹q,§_,§_
¹q»jµï,"2,206",146,201,128,172,¹q,§_,§_
³Â³Â¤p³½,811,98,105,78,111,¹q,§_,§_
³Â³ÂÅÁ,"1,715",139,156,130,163,¹q,§_,§_
³Â³ÂÅÁ³½¤ý,"2,732",166,217,152,198,¹q,§_,§_
ªd¤Ú³½,"2,162",199,144,171,240,¹q,§_,§_
¹p¹q¶³,"3,345",158,266,164,188,¹q,¬O,§_
±¶§JÃ¹©i,"4,038",171,275,211,205,¹q,¬O,§_
³Í¦è,"1,342",84,195,82,93,¶W¯à¤O,§_,§_
«i°ò©Ô,"2,059",105,232,117,120,¶W¯à¤O,§_,§_
­J¦a,"3,057",125,271,167,146,¶W¯à¤O,§_,§_
§b§bÃ~,"1,226",173,109,98,207,¶W¯à¤O,§_,§_
§b´ßÃ~,"2,545",180,177,180,216,¶W¯à¤O,§_,§_
¶Ê¯vðñ,"1,040",132,89,136,155,¶W¯à¤O,§_,§_
¤Þ¹Úðñ¤H,"2,090",166,144,193,198,¶W¯à¤O,§_,§_
³J³J,"1,175",132,107,125,155,¶W¯à¤O,§_,§_
·¦³J¾ð,"3,014",180,233,149,216,¶W¯à¤O,§_,§_
Ä_¥Û®ü¬P,"2,584",132,210,184,155,¶W¯à¤O,§_,§_
Å]Àð¤H°¸,"2,228",105,192,205,120,¶W¯à¤O,§_,§_
°g®B©j,"2,555",139,223,151,163,¶W¯à¤O,§_,§_
¶W¹Ú,"4,178",179,300,182,214,¶W¯à¤O,¬O,§_
¹Ú¤Û,"3,265",187,210,210,225,¶W¯à¤O,§_,¬O
¤ÑµM³¶,"1,102",105,134,89,120,¶W¯à¤O,§_,§_
¤ÑµM³¾,"2,188",139,192,146,163,¶W¯à¤O,§_,§_
¤Ó¶§¥ì¥¬,"3,170",139,261,175,163,¶W¯à¤O,§_,§_
§b§b¤ý,"2,545",180,177,180,216,¶W¯à¤O,§_,§_
¥¼ª¾¹ÏÄË,"1,185",116,136,91,134,¶W¯à¤O,§_,§_
ªGµM¯Î,"1,026",310,60,106,382,¶W¯à¤O,§_,§_
ÄQÅï©_,"2,046",146,182,133,172,¶W¯à¤O,§_,§_
°g®B«½,"1,291",111,153,91,128,¶W¯à¤O,§_,§_
¬¥©_¨È,"3,703",195,193,310,235,¶W¯à¤O,¬O,§_
®É©Ô¤ñ,"3,265",187,210,210,225,¶W¯à¤O,§_,¬O
©Ô¾|©Ôµ·,539,89,79,59,99,¶W¯à¤O,§_,§_
©_¾|²ú¦w,966,102,117,90,116,¶W¯à¤O,§_,§_
¨F©`¦·,"3,093",143,237,195,169,¶W¯à¤O,§_,§_
º¿¨F¨º,693,91,78,107,102,¶W¯à¤O,§_,§_
«ê¹p©i,"1,431",132,121,152,155,¶W¯à¤O,§_,§_
¸õ¸õ½Þ,"1,334",132,125,122,155,¶W¯à¤O,§_,§_
¼P¼P½Þ,"2,369",160,171,188,190,¶W¯à¤O,§_,§_
¤ë¥Û,"2,327",173,178,153,207,¶W¯à¤O,§_,§_
¤Ó¶§©¥,"2,327",173,178,153,207,¶W¯à¤O,§_,§_
¤Ñ¯¯°¸,787,105,77,124,120,¶W¯à¤O,§_,§_
©À¤O¤g°¸,"1,971",132,140,229,155,¶W¯à¤O,§_,§_
­·¹a¹a,"2,259",153,175,170,181,¶W¯à¤O,§_,§_
¤pªGµM,534,180,41,86,216,¶W¯à¤O,§_,§_
ÅK°×¹a,976,105,96,132,120,¶W¯à¤O,§_,§_
ª÷ÄÝ©Ç,"1,721",132,138,176,155,¶W¯à¤O,§_,§_
¥¨ª÷©Ç,"3,791",160,257,228,190,¶W¯à¤O,§_,§_
©Ô«Ò¨È´µ,"3,510",160,228,246,190,¶W¯à¤O,¬O,§_
©Ô«Ò¼Ú´µ,"3,812",160,268,212,190,¶W¯à¤O,¬O,§_
¥N¼Ú©_§Æ´µ,"3,160",118,345,115,137,¶W¯à¤O,§_,¬O
¹aÅLÅT,"1,005",111,114,94,128,¶W¯à¤O,§_,§_
»ÉÃè©Ç,603,128,43,154,149,¶W¯à¤O,§_,§_
«C»ÉÄÁ,"2,239",142,161,213,167,¶W¯à¤O,§_,§_
Å]¥§¥§,"1,095",78,125,142,85,¶W¯à¤O,§_,§_
¦ã¸ô¹p¦·,"3,093",143,237,195,169,¶W¯à¤O,§_,§_
§J¹p¦â§Q¨È,"2,857",214,152,258,260,¶W¯à¤O,¬O,§_
¤ñ§J´£¥§,"3,265",187,210,210,225,¶W¯à¤O,§_,¬O
­¹¹Ú¹Ú,"1,145",154,111,92,183,¶W¯à¤O,§_,§_
¹Ú¹Ú»k,"2,723",209,183,166,253,¶W¯à¤O,§_,§_
ºuºu½¿½»,"1,016",139,107,85,163,¶W¯à¤O,§_,§_
¤ß½¿½»,"1,716",142,161,119,167,¶W¯à¤O,§_,§_
¶H¼x³¾,"2,550",149,204,167,176,¶W¯à¤O,§_,§_
­ô¼wÄ_Ä_,951,111,98,112,128,¶W¯à¤O,§_,§_
­ô¼w¤pµ£,"1,604",132,137,153,155,¶W¯à¤O,§_,§_
­ô¼w¤p©j,"2,419",146,176,205,172,¶W¯à¤O,§_,§_
³æ§Z²Ó­M²y,"1,367",111,170,83,128,¶W¯à¤O,§_,§_
Âù§Z²Ó­M²y,"2,018",139,208,103,163,¶W¯à¤O,§_,§_
¤H³y²Ó­M§Z,"2,927",200,214,148,242,¶W¯à¤O,§_,§_
¤p¦Ç©Ç,"1,385",125,148,100,146,¶W¯à¤O,§_,§_
¤j¦t©Ç,"2,753",153,221,163,181,¶W¯à¤O,§_,§_
¬ü¬¥­C¶ð,"3,972",187,250,225,225,¶W¯à¤O,§_,¬O
¥Õ®ü·à,"1,985",173,139,177,207,¦B,§_,§_
¨ë¥Ò¨©,"2,547",118,186,256,137,¦B,§_,§_
°g®B©j,"2,555",139,223,151,163,¦B,§_,§_
©Ô´¶©Ô´µ,"2,641",228,165,174,277,¦B,§_,§_
«æ­á³¾,"3,051",173,192,236,207,¦B,¬O,§_
Ëc©Ô,"2,051",125,189,146,146,¦B,§_,§_
¤p¤s½Þ,741,118,90,69,137,¦B,§_,§_
ªø¤ò½Þ,"2,345",187,181,138,225,¦B,§_,§_
«H¨Ï³¾,"1,094",111,128,90,128,¦B,§_,§_
°g®B«½,"1,291",111,153,91,128,¦B,§_,§_
³·µ£¤l,888,118,95,95,137,¦B,§_,§_
¦B°­Å@,"2,105",160,162,162,190,¦B,§_,§_
®ü°\²y,962,146,95,90,172,¦B,§_,§_
®üÅ]·à,"1,714",173,137,132,207,¦B,§_,§_
«Ò¤ú®ü·à,"2,726",200,182,176,242,¦B,§_,§_
¹p¦N¦ã´µ,"3,122",160,179,309,190,¦B,¬O,§_
³·²Á©Ç,"1,159",132,115,105,155,¦B,§_,§_
¼É³·¤ý,"2,362",173,178,158,207,¦B,§_,§_
º¿Ëc©Ô,"3,005",146,243,171,172,¦B,§_,§_
¦B¥ì¥¬,"3,126",139,238,205,163,¦B,§_,§_
¶H¤ú½Þ,"3,328",200,247,146,242,¦B,§_,§_
³·§¯¤k,"2,040",146,171,150,172,¦B,§_,§_
°g§A¦B,"1,033",100,118,106,113,¦B,§_,§_
¦h¦h¦B,"1,591",120,151,138,139,¦B,§_,§_
Âù­¿¦h¦h¦B,"2,822",147,218,184,174,¦B,§_,§_
¼QÀ¡ºµ,"1,069",125,128,74,146,¦B,§_,§_
­á­ìºµ,"3,042",180,233,152,216,¦B,§_,§_
´X¦ó³·ªá,"2,798",160,190,218,190,¦B,§_,§_
­©¹p©i,"3,575",203,246,170,245,¦B,¬O,§_
°g§AÀs,"1,004",106,119,91,121,Às,§_,§_
«¢§JÀs,"1,780",133,163,135,156,Às,§_,§_
§ÖÀs,"3,792",175,263,198,209,Às,§_,§_
¨ëÀs¤ý,"2,641",153,194,194,181,Às,§_,§_
¶W­µªi¥®ÂÎ,"1,225",118,134,99,137,Às,§_,§_
¨Fºz»f¸»,"2,661",160,205,168,190,Às,§_,§_
¤C¤i«C³¾,"2,004",153,141,201,181,Às,§_,§_
Ä_¨©Às,"1,156",111,134,93,128,Às,§_,§_
¥Ò´ßÀs,"2,031",139,172,155,163,Às,§_,§_
¼É­¸Às,"3,749",180,277,168,216,Às,§_,§_
©Ô«Ò¨È´µ,"3,510",160,228,246,190,Às,¬O,§_
©Ô«Ò¼Ú´µ,"3,812",160,268,212,190,Às,¬O,§_
¯PªÅ§¤,"3,835",178,284,170,213,Às,¬O,§_
¶ê³°ÃT,"1,112",129,124,84,151,Às,§_,§_
¦y¤ú³°ÃT,"1,874",143,172,125,169,Às,§_,§_
¯P«r³°ÃT,"3,962",198,261,193,239,Às,§_,§_
«Ò¤ú¿c¥d,"4,038",171,275,211,205,Às,¬O,§_
ÃM©Ô«Ò¯Ç,"3,379",233,187,225,284,Às,¬O,§_
¤ú¤ú,"1,368",113,154,101,130,Às,§_,§_
©ò¤úÀs,"2,234",140,212,123,165,Às,§_,§_
Âù©ò¾ÔÀs,"3,593",154,284,172,183,Às,§_,§_
¨ª­±Às,"2,732",155,213,170,184,Às,§_,§_
³æ­ºÀs,"1,062",121,116,93,141,Às,§_,§_
Âù­º¼ÉÀs,"1,839",149,159,135,176,Às,§_,§_
¤T­º´cÀs,"3,625",176,256,188,211,Às,§_,§_
µÜ§Æ©Ô©i,"4,038",171,275,211,205,Às,¬O,§_
±¶§JÃ¹©i,"4,038",171,275,211,205,Às,¬O,§_
­©¹p©i,"3,575",203,246,170,245,Às,¬O,§_
¤ë«G¥ì¥¬,"2,137",180,126,240,216,´c,§_,§_
¶Â·t¾~,"1,562",132,175,87,155,´c,§_,§_
Ëc©Ô,"2,051",125,189,146,146,´c,§_,§_
À¹¾|¤ñ,"1,234",111,152,83,128,´c,§_,§_
¶Â¾|¥[,"2,635",153,224,144,181,´c,§_,§_
¯Z°ò©Ô´µ,"3,834",187,251,207,225,´c,§_,§_
¤g¯T¤ü,678,98,96,61,111,´c,§_,§_
¤j¯T¤ü,"1,926",146,171,132,172,´c,§_,§_
ªø»ó¸­,"1,227",146,134,78,172,´c,§_,§_
¬¾·â¤Ñª¯,"2,333",173,200,121,207,´c,§_,§_
¤Ä»î²´,"1,476",118,141,136,137,´c,§_,§_
§Q¤ú³½,"1,020",111,171,39,128,´c,§_,§_
¥¨¤úÃT,"2,181",146,243,83,172,´c,§_,§_
¹Úºq¥P¤H´x,"2,298",146,221,115,172,´c,§_,§_
ÅKîgÀs½¼,"2,474",136,224,142,160,´c,§_,§_
ªü«k±ô¾|,"2,526",139,246,120,163,´c,§_,§_
¯Q¾~ÀYÀY,"2,711",187,243,103,225,´c,§_,§_
¯äÃ^¼P,"1,151",136,121,90,160,´c,§_,§_
©Z§J¯äÃ^,"2,358",191,184,132,230,´c,§_,§_
ªá©¥©Ç,"2,072",118,169,199,137,´c,§_,§_
Às¤ýÃÈ,"2,453",146,180,202,172,´c,§_,§_
º¿Ëc©Ô,"3,005",146,243,171,172,´c,§_,§_
¥¶¤â¿ß,772,106,98,73,121,´c,§_,§_
»Å°\,"1,846",138,187,106,162,´c,§_,§_
¶Â²´Æs,"1,037",118,132,69,137,´c,§_,§_
²V²VÆs,"1,418",132,155,90,155,´c,§_,§_
¬yª]Æs,"3,046",180,229,158,216,´c,§_,§_
·Æ·Æ¤p¤l,"1,372",118,132,132,137,´c,§_,§_
ÀY¤y²V²V,"2,283",139,163,222,163,´c,§_,§_
¯ÁÃ¹¨È,"1,175",105,153,78,120,´c,§_,§_
¯ÁÃ¹¨È§J,"2,571",132,250,127,155,´c,§_,§_
¾s¤M¤p§L,"1,433",111,154,114,128,´c,§_,§_
¼A±Ù¥q¥O,"2,844",139,232,176,163,´c,§_,§_
¨rÆN¤XÀY,"1,271",146,105,139,172,´c,§_,§_
¨rÆN®R,"2,138",200,129,205,242,´c,§_,§_
³æ­ºÀs,"1,062",121,116,93,141,´c,§_,§_
Âù­º¼ÉÀs,"1,839",149,159,135,176,´c,§_,§_
¤T­º´cÀs,"3,625",176,256,188,211,´c,§_,§_
°ôÄdºµ,"2,652",177,180,194,212,´c,§_,§_
¥Ö¥Ö,"1,155",146,107,108,172,§¯ºë,§_,§_
¥Ö¥i¦è,"2,437",180,178,162,216,§¯ºë,§_,§_
­D¤B,724,207,80,41,251,§¯ºë,§_,§_
­D¥i¤B,"1,926",242,156,90,295,§¯ºë,§_,§_
Å]Àð¤H°¸,"2,228",105,192,205,120,§¯ºë,§_,§_
¥ÖÄ_Ä_,671,118,75,79,137,§¯ºë,§_,§_
Ä_Ä_¤B,535,173,69,32,207,§¯ºë,§_,§_
ªi§J¤ñ,657,98,67,116,111,§¯ºë,§_,§_
ªi§J°ò¥j,"1,708",125,139,181,146,§¯ºë,§_,§_
º¿¤OÅS,461,146,37,93,172,§¯ºë,§_,§_
º¿¤OÅSÄR,"1,588",187,112,152,225,§¯ºë,§_,§_
¥¬¾|,"1,237",132,137,85,155,§¯ºë,§_,§_
¥¬¾|¬Ó,"2,552",173,212,131,207,§¯ºë,§_,§_
©Ô¾|©Ôµ·,539,89,79,59,99,§¯ºë,§_,§_
©_¾|²ú¦w,966,102,117,90,116,§¯ºë,§_,§_
¨F©`¦·,"3,093",143,237,195,169,§¯ºë,§_,§_
ÅS¤OÄR,364,118,36,71,137,§¯ºë,§_,§_
¤j¼L«½,"1,634",118,155,141,137,§¯ºë,§_,§_
Å]¥§¥§,"1,095",78,125,142,85,§¯ºë,§_,§_
ªi§J°ò´µ,"3,332",166,225,217,198,§¯ºë,§_,§_
¤ì´Ö²y,700,105,71,111,120,§¯ºë,§_,§_
­·§¯ºë,"2,014",132,164,176,155,§¯ºë,§_,§_
,"1,437",140,126,122,165,,,
